epoch,elapsed_time,total_loss,l_pred,l_multi,l_var,l_sparse,l_probe,grad_norm,val_total_loss,val_l_pred,val_pos_err,val_vel_err,val_spike_rate
1,2.3643717765808105,0.7234702626864116,0.29742085486650466,0.43562446931997933,0.5393887917200725,0.06909835661451022,0.3084584097067515,2.6958466013303357,0.3732638508081436,0.090813759714365,0.6798223853111267,0.7351376712322235,0.07924219593405724
2,4.39190673828125,0.3097580909729004,0.05256440664331118,0.0632494126756986,0.7593975226084392,0.07703647216161093,0.29910435279210407,0.3927727794383879,0.2777004837989807,0.03374619223177433,0.67955681681633,0.7422805726528168,0.07823104038834572
3,6.344266891479492,0.26865600744883217,0.02729015698035558,0.02548168773452441,0.785399063428243,0.07892363270123799,0.30001235008239746,0.31380262058882824,0.2593007832765579,0.02336034458130598,0.6764845848083496,0.7404783964157104,0.08023188635706902
4,8.314009666442871,0.25541850527127585,0.020626948028802872,0.017219408291081588,0.7673965136210124,0.07861500730117162,0.29872716466585797,0.2737313403091836,0.2543235421180725,0.018776371143758297,0.6776887774467468,0.7519531846046448,0.07791772484779358
5,10.271115779876709,0.24852245151996613,0.016976158320903777,0.014604725316166878,0.7419734199841818,0.07793904145558675,0.2999373018741608,0.26297773598080815,0.24290645122528076,0.0162356523796916,0.6607324481010437,0.747112363576889,0.07665145397186279
6,12.215634822845459,0.23311467170715333,0.02094731368124485,0.020927427460749944,0.6780832727750142,0.075942895313104,0.26763874491055806,0.27503885107299914,0.23145250976085663,0.036530911922454834,0.4153583198785782,0.747223436832428,0.08125926926732063
7,14.151155948638916,0.24286755124727885,0.051492865880330405,0.07931115925312042,0.5039974053700765,0.10017859985431035,0.2024383693933487,0.23033040321709314,0.2446557730436325,0.05009147711098194,0.2824285179376602,0.7232631742954254,0.10668965056538582
8,16.03940987586975,0.24533639748891195,0.05162111495931943,0.117920816441377,0.43166438341140745,0.1091686025261879,0.18295853435993195,0.2153803377356828,0.26093176007270813,0.056810349225997925,0.2633328288793564,0.7140321731567383,0.10506293922662735
9,18.043943881988525,0.262222761909167,0.05814862474799156,0.16853979925314586,0.3279254138469696,0.11322784225145975,0.17379692693551382,0.26163441073618854,0.273129865527153,0.058987146243453026,0.2743298411369324,0.683377593755722,0.11032168939709663
10,19.987201690673828,0.2814314325650533,0.06651196976502737,0.22144306004047393,0.2490000347296397,0.11080053299665452,0.15837424397468566,0.29317908889564775,0.2823529690504074,0.06383311748504639,0.26125556230545044,0.6220665276050568,0.10755929723381996
11,21.916892766952515,0.2851775507132212,0.06929554417729378,0.2510437379280726,0.20259059369564056,0.11119169493516286,0.13997977077960969,0.3333274914704118,0.3049936145544052,0.08040741458535194,0.22941932827234268,0.5666748881340027,0.1080305427312851
12,23.8555269241333,0.29868069489796956,0.08208943903446198,0.28789496620496113,0.15385546187559765,0.1107395589351654,0.11429497947295507,0.3721355968717218,0.2972554415464401,0.08305652439594269,0.2523336857557297,0.48456692695617676,0.10471007972955704
13,25.798353910446167,0.29220550656318667,0.08371587693691254,0.29341809352238973,0.14737822810808818,0.1125105783343315,0.09386049409707388,0.4754690059551168,0.29818595945835114,0.08225034549832344,0.2683592736721039,0.4372742474079132,0.11240401491522789
14,27.763093948364258,0.3342742184797923,0.09863550265630086,0.3231910288333893,0.16092748691638312,0.12639666646718978,0.11564811964829763,0.6698394317699882,0.33707328140735626,0.09304458275437355,0.3673547953367233,0.4977751523256302,0.13615532219409943
15,29.71092200279236,0.3546566108862559,0.1031365195910136,0.31057563026746116,0.20617058674494426,0.153887872894605,0.1509226605296135,0.5528129637857031,0.3686193376779556,0.10619428008794785,0.38508573174476624,0.620346188545227,0.1659000664949417
